country,outcome,outcome_label,mean_Majority,mean_Minority,se_Majority,se_Minority,n_Majority,n_Minority,gap,gap_se,gap_lower,gap_upper,iso3c,majority_religion,majority_share,n_total,pct_minority
Netherlands,happiness,Happiness (1–4),3.15177065767285,3.2,0.017659965986165094,0.022340709925519148,1186,710,0.04822934232715026,0.028477740756750664,-0.0075870295560810375,0.10404571421038156,NLD,No_Denomination,62.37060041407867,1932,37.62939958592133
Netherlands,health,Self-rated health (1–5),3.7328881469115194,3.667130919220056,0.021387920140904536,0.028250821128470566,1198,718,-0.06575722769146353,0.035433769519859847,-0.13520741595038882,0.003692960567461767,NLD,No_Denomination,62.37060041407867,1932,37.62939958592133
Netherlands,life_satisfaction,Life satisfaction (1–10),7.343933054393306,7.453781512605042,0.04148504243816591,0.05316550943138196,1195,714,0.1098484582117365,0.06743574822892373,-0.022325608316954015,0.24202252474042701,NLD,No_Denomination,62.37060041407867,1932,37.62939958592133
Nicaragua,happiness,Happiness (1–4),3.338129496402878,3.3127753303964758,0.02470353846133628,0.05038094542556584,973,227,-0.025354166006402057,0.05611153601965076,-0.13533277660491755,0.08462444459211342,NIC,Christian,81.08333333333333,1200,18.916666666666668
Nicaragua,health,Self-rated health (1–5),3.8746145940390546,3.9647577092511015,0.027437304760470557,0.05055880591890366,973,227,0.09014311521204688,0.05752389545627372,-0.022603719882249615,0.20288995030634338,NIC,Christian,81.08333333333333,1200,18.916666666666668
Nicaragua,life_satisfaction,Life satisfaction (1–10),7.928057553956834,8.008810572687224,0.07515204293373524,0.13762430256737607,973,227,0.0807530187303902,0.1568064992730552,-0.22658771984479797,0.3880937573055784,NIC,Christian,81.08333333333333,1200,18.916666666666668
Nigeria,happiness,Happiness (1–4),2.971182502100391,3.2599529734385517,0.04115985774942854,0.03905141257021194,661,568,0.2887704713381609,0.05673752474052864,0.17756492284672476,0.3999760198295971,NGA,Christian,54.283817816941884,1233,46.228710462287104
Nigeria,health,Self-rated health (1–5),4.041445418614663,4.3573143080413645,0.039287584643261084,0.033069761718631886,661,570,0.3158688894267012,0.051352930269153045,0.21521714609916126,0.41652063275424117,NGA,Christian,54.283817816941884,1233,46.228710462287104
Nigeria,life_satisfaction,Life satisfaction (1–10),5.350200606620615,5.872160355900633,0.1077794171660057,0.11217524245062023,662,570,0.5219597492800174,0.15556248835596362,0.21705727210232872,0.8268622264577061,NGA,Christian,54.283817816941884,1233,46.228710462287104
Pakistan,happiness,Happiness (1–4),3.345957011258956,3.3666666666666667,0.01667880396277864,0.11038652628462037,1954,30,0.02070965540771086,0.11163945398833687,-0.19810367440942941,0.23952298522485113,PAK,Muslim,98.48942598187311,1986,1.5105740181268883
Pakistan,health,Self-rated health (1–5),3.95496417604913,3.8666666666666667,0.02085135607240631,0.13931047127695537,1954,30,-0.08829750938246317,0.14086229608190293,-0.3643876097029929,0.18779259093806655,PAK,Muslim,98.48942598187311,1986,1.5105740181268883
Pakistan,life_satisfaction,Life satisfaction (1–10),7.662210796915167,7.9,0.05460307341898929,0.30677534306249443,1945,30,0.23778920308483364,0.3115968657382655,-0.3729406537621668,0.8485190599318341,PAK,Muslim,98.48942598187311,1986,1.5105740181268883
Peru,happiness,Happiness (1–4),3.165390140786824,3.091187934778518,0.02204036170763521,0.08224168008438892,1292,96,-0.07420220600830607,0.08514382823966965,-0.24108410935805857,0.09267969734144643,PER,Christian,93.36148846946757,1393,6.963388370423546
Peru,health,Self-rated health (1–5),3.6225180805580917,3.6986544057544997,0.021486044965209544,0.07920975192496431,1296,97,0.076136325196408,0.08207213247053712,-0.08472505444584474,0.23699770483866076,PER,Christian,93.36148846946757,1393,6.963388370423546
Peru,life_satisfaction,Life satisfaction (1–10),7.638919120722002,7.704948071797352,0.05464370842235091,0.20783575232616355,1292,97,0.06602895107535023,0.21489912706925848,-0.3551733379803964,0.48723124013109687,PER,Christian,93.36148846946757,1393,6.963388370423546
Philippines,happiness,Happiness (1–4),3.442130606578297,3.409646197919549,0.022802284385084304,0.06033968771822226,1066,129,-0.03248440865874791,0.0645044346313557,-0.15891310053620508,0.09394428321870926,PHL,Christian,88.54874236809052,1196,10.785953177257525
